Артикул ;Наименование;Цена 0;Цена 1;Цена 2;Цена 3;Цена 4;Цена 5;Количество;Характеристики (json)
100008-S                 ;РУЗ Футболка красная   S 155г/м2, круг.ворот//;240;204;199;192;185;180;1;
100008-XL                ;РУЗ Футболка красная   XL 155г/м2, круг.ворот//;240;204;199;192;185;180;1;
10001-2XL;Футболка  МУЖ  меланж/голубой   2XL;200;170;166;160;154;150;1;
10001-3XL;Футболка  МУЖ  меланж/голубой   M;200;170;166;160;154;150;1;
10001-L;Футболка  МУЖ  меланж/голубой   XL;200;170;166;160;154;150;1;
10001-M                    ;Футболка  МУЖ  меланж/голубой  3XL;200;170;166;160;154;150;1;
10001-S                   ;Футболка  МУЖ  меланж/голубой  L;200;170;166;160;154;150;1;
10001-XL                    ;Футболка  МУЖ  меланж/голубой  S;200;170;166;160;154;150;1;
100010-2XL               ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная XXL//;240;204;199;192;185;180;1;
100010-3XL               ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная 3 XL//;300;255;249;240;231;225;1;
100010-L                 ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная L//;240;204;199;192;185;180;1;
100010-M                 ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная M//;240;204;199;192;185;180;1;
100010-S                 ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная S//;240;204;199;192;185;180;1;
100010-XL                ;РУЗ Футболка 155 г/м кв. кругл. ворот лимонная XL//;240;204;199;192;185;180;1;
100011-2XL                ;Футболка MODERN МУЖ 155г О-ворот небесный 2XL (основной);240;204;199;192;185;180;1;
100011-3XL                 ;Футболка MODERN МУЖ 155г О-ворот небесный 3XL (основной);300;255;249;240;231;225;1;
100011-S;Футболка MODERN МУЖ 155г О-ворот небесный S (основной);240;204;199;192;185;180;1;
100011-M;Футболка MODERN МУЖ 155г О-ворот небесный M (основной);240;204;199;192;185;180;1;
100011-L;Футболка MODERN МУЖ 155г О-ворот небесный L (основной);240;204;199;192;185;180;1;
100011-XL                 ;Футболка MODERN МУЖ 155г О-ворот небесный XL (основной);240;204;199;192;185;180;1;
100012-2XL               ;Футболка MODERN МУЖ 155г О-ворот оливковый 2ХL;240;204;199;192;185;180;1;
100012-3XL               ;Футболка MODERN МУЖ 155г О-ворот оливковый 3ХL;300;255;249;240;231;225;1;
100012-L                 ;Футболка MODERN МУЖ 155г О-ворот оливковый L;240;204;199;192;185;180;1;
100012-M                 ;Футболка MODERN МУЖ 155г О-ворот оливковый M;240;204;199;192;185;180;1;
100012-S                 ;Футболка MODERN МУЖ 155г О-ворот оливковый S;240;204;199;192;185;180;1;
100012-XL                ;Футболка MODERN МУЖ 155г О-ворот оливковый ХL;240;204;199;192;185;180;1;
100013-2XL               ;Футболка MODERN МУЖ 155г О-ворот оранжевый 2ХL //;240;204;199;192;185;180;1;
100013-3XL               ;Футболка MODERN МУЖ 155г О-ворот оранжевый 3ХL //;300;255;249;240;231;225;1;
100013-L                 ;Футболка MODERN МУЖ 155г О-ворот оранжевый L //;240;204;199;192;185;180;1;
100013-M                 ;Футболка MODERN МУЖ 155г О-ворот оранжевый M //;240;204;199;192;185;180;1;
100013-S                 ;Футболка MODERN МУЖ 155г О-ворот оранжевый S //;240;204;199;192;185;180;1;
100013-XL                ;Футболка MODERN МУЖ 155г О-ворот оранжевый ХL //;240;204;199;192;185;180;1;
100014-2XL               ;Футболка MODERN МУЖ 155г О-ворот песочный  2ХL //;240;204;199;192;185;180;1;
100014-3XL               ;Футболка MODERN МУЖ 155г О-ворот песочный  3ХL //;300;255;249;240;231;225;1;
100014-L                 ;Футболка MODERN МУЖ 155г О-ворот песочный  L //;240;204;199;192;185;180;1;
100014-M                 ;Футболка MODERN МУЖ 155г О-ворот песочный  M //;240;204;199;192;185;180;1;
100014-S                 ;Футболка MODERN МУЖ 155г О-ворот песочный  S //;240;204;199;192;185;180;1;
100014-XL                ;Футболка MODERN МУЖ 155г О-ворот песочный  ХL //;240;204;199;192;185;180;1;
100016-2XL               ;Футболка MODERN МУЖ 155г О-ворот салатовый 2ХL //;240;204;199;192;185;180;1;
100016-3XL               ;Футболка MODERN МУЖ 155г О-ворот салатовый 3ХL //;300;255;249;240;231;225;1;
100016-L                 ;Футболка MODERN МУЖ 155г О-ворот салатовый L //;240;204;199;192;185;180;1;
100016-M                 ;Футболка MODERN МУЖ 155г О-ворот салатовый M //;240;204;199;192;185;180;1;
100016-S                 ;Футболка MODERN МУЖ 155г О-ворот салатовый S //;240;204;199;192;185;180;1;
100016-XL                ;Футболка MODERN МУЖ 155г О-ворот салатовый ХL //;240;204;199;192;185;180;1;
100017-2XL               ;Футболка MODERN МУЖ 155г О-ворот св.голубой 2ХL;240;204;199;192;185;180;1;
100017-3XL               ;Футболка MODERN МУЖ 155г О-ворот св.голубой 3ХL;300;255;249;240;231;225;1;
100017-L                 ;Футболка MODERN МУЖ 155г О-ворот св.голубой L;240;204;199;192;185;180;1;
100017-M                 ;Футболка MODERN МУЖ 155г О-ворот св.голубой M;240;204;199;192;185;180;1;
100017-S                 ;Футболка MODERN МУЖ 155г О-ворот св.голубой S;240;204;199;192;185;180;1;
100017-XL                ;Футболка MODERN МУЖ 155г О-ворот св.голубой ХL;240;204;199;192;185;180;1;
100018-2XL               ;Футболка MODERN МУЖ 155г О-ворот св.желтый 2XL ;240;204;199;192;185;180;1;
100018-3XL               ;Футболка MODERN МУЖ 155г О-ворот св.желтый 3XL;300;255;249;240;231;225;1;
100018-L                 ;Футболка MODERN МУЖ 155г О-ворот св.желтый L;240;204;199;192;185;180;1;
100018-M                 ;Футболка MODERN МУЖ 155г О-ворот св.желтый M ;240;204;199;192;185;180;1;
100018-S                 ;Футболка MODERN МУЖ 155г О-ворот св.желтый S;240;204;199;192;185;180;1;
100018-XL                ;Футболка MODERN МУЖ 155г О-ворот св.желтый XL;240;204;199;192;185;180;1;
100019-2XL               ;Футболка MODERN МУЖ 155г О-ворот серебро 2XL //;240;204;199;192;185;180;1;
100019-3XL               ;Футболка MODERN МУЖ 155г О-ворот серебро 3XL //;300;255;249;240;231;225;1;
100019-L                 ;Футболка MODERN МУЖ 155г О-ворот серебро L //;240;204;199;192;185;180;1;
100019-M                 ;Футболка MODERN МУЖ 155г О-ворот серебро M //;240;204;199;192;185;180;1;
100019-S                 ;Футболка MODERN МУЖ 155г О-ворот серебро S //;240;204;199;192;185;180;1;
100019-XL                ;Футболка MODERN МУЖ 155г О-ворот серебро XL;240;204;199;192;185;180;1;
100019-XL                ;Футболка MODERN МУЖ 155г О-ворот серебро XL //;240;204;199;192;185;180;1;
100020-XL                ;Футболка MODERN МУЖ 155г О-ворот серый XL;240;204;199;192;185;180;1;
100021-2XL               ;Футболка MODERN МУЖ 155г О-ворот сл.кость 2XL//;240;204;199;192;185;180;1;
100021-3XL               ;Футболка MODERN МУЖ 155г О-ворот сл.кость 3XL//;240;204;199;192;185;180;1;
100021-4XL               ;Футболка MODERN МУЖ 155г О-ворот сл.кость 4XL//;240;204;199;192;185;180;1;
100021-5XL               ;Футболка MODERN МУЖ 155г О-ворот сл.кость 5XL//;240;204;199;192;185;180;1;
100021-L                 ;Футболка MODERN МУЖ 155г О-ворот сл.кость L//;240;204;199;192;185;180;1;
100021-M                 ;Футболка MODERN МУЖ 155г О-ворот сл.кость M//;240;204;199;192;185;180;1;
100021-S                 ;Футболка MODERN МУЖ 155г О-ворот сл.кость S//;240;204;199;192;185;180;1;
100021-XL                ;Футболка MODERN МУЖ 155г О-ворот сл.кость XL//;240;204;199;192;185;180;1;
100022-2XL               ;Футболка MODERN МУЖ 155г О-ворот т.зеленый XXL;240;204;199;192;185;180;1;
100022-3XL               ;Футболка MODERN МУЖ 155г О-ворот т.зеленый 3XL;300;255;249;240;231;225;1;
100022-L                 ;Футболка MODERN МУЖ 155г О-ворот т.зеленый L;240;204;199;192;185;180;1;
100022-M                 ;Футболка MODERN МУЖ 155г О-ворот т.зеленый M;240;204;199;192;185;180;1;
100022-S                 ;Футболка MODERN МУЖ 155г О-ворот т.зеленый S;240;204;199;192;185;180;1;
100022-XL                ;Футболка MODERN МУЖ 155г О-ворот т.зеленый XL;240;204;199;192;185;180;1;
100023-2XL               ;Футболка MODERN МУЖ 155г О-ворот т.синий 2XL;240;204;199;192;185;180;1;
100023-3XL               ;Футболка MODERN МУЖ 155г О-ворот т.синий 3XL;300;255;249;240;231;225;1;
100023-4XL               ;Футболка MODERN МУЖ 155г О-ворот т.синий 4XL;365;310;303;292;281;274;1;
100023-5XL               ;Футболка MODERN МУЖ 155г О-ворот т.синий 5XL;365;310;303;292;281;274;1;
100023-L                 ;Футболка MODERN МУЖ 155г О-ворот т.синий L;240;204;199;192;185;180;1;
100023-M                 ;Футболка MODERN МУЖ 155г О-ворот т.синий M;240;204;199;192;185;180;1;
100023-S                 ;Футболка MODERN МУЖ 155г О-ворот т.синий S;240;204;199;192;185;180;1;
100023-XL                ;Футболка MODERN МУЖ 155г О-ворот т.синий XL;240;204;199;192;185;180;1;
100024-2XL               ;Футболка MODERN МУЖ 155г О-ворот т.красный XXL;240;204;199;192;185;180;1;
100024-3XL               ;Футболка MODERN МУЖ 155г О-ворот т.красный XXXL;300;255;249;240;231;225;1;
100024-L                 ;Футболка MODERN МУЖ 155г О-ворот т.красный L;240;204;199;192;185;180;1;
100024-M                 ;Футболка MODERN МУЖ 155г О-ворот т.красный M ;240;204;199;192;185;180;1;
100024-S                 ;Футболка MODERN МУЖ 155г О-ворот т.красный S;240;204;199;192;185;180;1;
100024-XL                ;Футболка MODERN МУЖ 155г О-ворот т.красный XL;240;204;199;192;185;180;1;
100025-2XL               ;Футболка MODERN МУЖ 155г О-ворот фиолетовый XXL;240;204;199;192;185;180;1;
100025-3XL               ;Футболка MODERN МУЖ 155г О-ворот фиолетовый 3XL;300;255;249;240;231;225;1;
100025-L                 ;Футболка MODERN МУЖ 155г О-ворот фиолетовый L;240;204;199;192;185;180;1;
100025-M                 ;Футболка MODERN МУЖ 155г О-ворот фиолетовый M;240;204;199;192;185;180;1;
100025-S                 ;Футболка MODERN МУЖ 155г О-ворот фиолетовый S;240;204;199;192;185;180;1;
100025-XL                ;Футболка MODERN МУЖ 155г О-ворот фиолетовый  XL;240;204;199;192;185;180;1;
100026-2XL               ;Футболка MODERN МУЖ 155г О-ворот черный 2ХL;275;234;228;220;212;206;1;
100026-3XL               ;Футболка MODERN МУЖ 155г О-ворот черный 3ХL;300;255;249;240;231;225;1;
100026-4XL               ;Футболка MODERN МУЖ 155г О-ворот черный 4XL;365;310;303;292;281;274;1;
100026-5XL               ;Футболка MODERN МУЖ 155г О-ворот черный 5XL;365;310;303;292;281;274;1;
100026-L                 ;Футболка MODERN МУЖ 155г О-ворот черный L;275;234;228;220;212;206;1;
100026-M                 ;Футболка MODERN МУЖ 155г О-ворот черный M;275;234;228;220;212;206;1;
100026-S                 ;Футболка MODERN МУЖ 155г О-ворот черный S;275;234;228;220;212;206;1;
100026-XL                ;Футболка MODERN МУЖ 155г О-ворот черный XL;275;234;228;220;212;206;1;
100027-2XL               ;Футболка MODERN МУЖ 155г О-ворот шоколадный XXL;240;204;199;192;185;180;1;
100027-L                 ;Футболка MODERN МУЖ 155г О-ворот шоколадный L;240;204;199;192;185;180;1;
100027-M                 ;Футболка MODERN МУЖ 155г О-ворот шоколадный M;240;204;199;192;185;180;1;
100027-S                 ;Футболка MODERN МУЖ 155г О-ворот шоколадный S;240;204;199;192;185;180;1;
100027-XL                ;Футболка MODERN МУЖ 155г О-ворот шоколадный XL;240;204;199;192;185;180;1;
100028-2XL               ;Футболка MODERN МУЖ 155г О-ворот я.синий 2XL;275;234;228;220;212;206;1;
100028-3XL               ;Футболка MODERN МУЖ 155г О-ворот я.синий 3XL;300;255;249;240;231;225;1;
100028-L                 ;Футболка MODERN МУЖ 155г О-ворот я.синий L;275;234;228;220;212;206;1;
100028-M                 ;Футболка MODERN МУЖ 155г О-ворот я.синий M;275;234;228;220;212;206;1;
100028-S                 ;Футболка MODERN МУЖ 155г О-ворот я.синий S;275;234;228;220;212;206;1;
100028-XL                ;Футболка MODERN МУЖ 155г О-ворот я.синий XL;275;234;228;220;212;206;1;
10003-2XL                    ;Футболка  МУЖ  меланж  2XL;240;204;199;192;185;180;1;
10003-L                    ;Футболка  МУЖ  меланж  L;240;204;199;192;185;180;1;
10003-M                    ;Футболка  МУЖ  меланж  M;240;204;199;192;185;180;1;
10003-S                    ;Футболка  МУЖ  меланж  S;240;204;199;192;185;180;1;
10003-XL                    ;Футболка  МУЖ  меланж  XL;240;204;199;192;185;180;1;
10003-3XL                    ;Футболка  МУЖ  меланж 3XL;300;255;249;240;231;225;1;
101002-2XL               ;Футболка MODERN 155г V-ворот белый XXL;235;200;195;188;181;176;1;
101002-L                 ;Футболка MODERN 155г V-ворот белый L;235;200;195;188;181;176;1;
101002-M                 ;Футболка MODERN 155г V-ворот белый M;235;200;195;188;181;176;1;
101002-S                 ;Футболка MODERN 155г V-ворот белый S;235;200;195;188;181;176;1;
101002-XL                ;Футболка MODERN 155г V-ворот белый XL;235;200;195;188;181;176;1;
101006-2XL               ;Футболка MODERN 155г V-ворот желтый XXL;245;208;203;196;189;184;1;
101006-L                 ;Футболка MODERN 155г V-ворот желтый L;245;208;203;196;189;184;1;
101006-M                 ;Футболка MODERN 155г V-ворот желтый M;245;208;203;196;189;184;1;
101006-XL                ;Футболка MODERN 155г V-ворот желтый  XL;245;208;203;196;189;184;1;
101007-2XL               ;Футболка MODERN 155г V-ворот зеленый XXL;245;208;203;196;189;184;1;
101007-L                 ;Футболка MODERN 155г V-ворот зеленый L;245;208;203;196;189;184;1;
101007-M                 ;Футболка MODERN 155г V-ворот зеленый M;245;208;203;196;189;184;1;
101007-XL                ;Футболка MODERN 155г V-ворот зеленый XL;245;208;203;196;189;184;1;
101008-2XL               ;Футболка MODERN 155г V-ворот красный XXL;245;208;203;196;189;184;1;
101008-L                 ;Футболка MODERN 155г V-ворот красный L;245;208;203;196;189;184;1;
101008-M                 ;Футболка MODERN 155г V-ворот красный M;245;208;203;196;189;184;1;
101008-XL                ;Футболка MODERN 155г V-ворот красный XL;245;208;203;196;189;184;1;
10101-2XL;Футболка  МУЖ  меланж/голубой  2XL;200;170;166;160;154;150;1;
10101-M;Футболка  МУЖ  меланж/голубой  M;200;170;166;160;154;150;1;
10101-XL;Футболка  МУЖ  меланж/голубой  XL;200;170;166;160;154;150;1;
10101-3XL                    ;Футболка  МУЖ  меланж/голубой 3XL;200;170;166;160;154;150;1;
10101-L                    ;Футболка  МУЖ  меланж/голубой L;200;170;166;160;154;150;1;
10101-S                    ;Футболка  МУЖ  меланж/голубой S;200;170;166;160;154;150;1;
101013-2XL               ;Футболка MODERN 155г V-ворот оранжевый XXL;245;208;203;196;189;184;1;
101013-L                 ;Футболка MODERN 155г V-ворот оранжевый L;245;208;203;196;189;184;1;
101013-M                 ;Футболка MODERN 155г V-ворот оранжевый M;245;208;203;196;189;184;1;
101013-XL                ;Футболка MODERN 155г V-ворот оранжевый XL;245;208;203;196;189;184;1;
101019-2XL               ;Футболка MODERN 155г V-ворот серебро XXL;245;208;203;196;189;184;1;
